state,district,season,N,P,K,temperature,humidity,ph,rainfall
Maharashtra,Ahmadnagar,Kharif,90.0,40.0,48.0,29.12,61.16,6.46,944.0
Maharashtra,Ahmadnagar,Rabi,94.0,47.0,45.0,27.33,55.71,6.62,782.0
Maharashtra,Ahmadnagar,Summer,85.0,44.0,43.0,26.0,65.91,6.59,787.0
Maharashtra,Akola,Kharif,89.0,45.0,38.0,28.1,58.8,6.14,917.0
Maharashtra,Akola,Rabi,86.0,43.0,41.0,28.37,54.56,6.59,750.0
Maharashtra,Akola,Summer,92.0,43.0,39.0,29.8,65.59,6.75,738.0
Maharashtra,Amravati,Kharif,93.0,41.0,39.0,28.74,59.28,6.2,737.0
Maharashtra,Amravati,Rabi,86.0,37.0,41.0,26.73,63.06,6.44,783.0
Maharashtra,Amravati,Summer,93.0,40.0,43.0,26.13,64.11,6.46,931.0
Maharashtra,Aurangabad,Kharif,87.0,44.0,44.0,28.08,65.53,6.78,966.0
Maharashtra,Aurangabad,Rabi,85.0,41.0,45.0,27.43,57.37,6.53,770.0
Maharashtra,Aurangabad,Summer,96.0,37.0,46.0,29.95,63.27,6.26,945.0
Maharashtra,Bhandara,Kharif,94.0,39.0,38.0,28.85,63.48,6.58,963.0
Maharashtra,Bhandara,Rabi,90.0,46.0,46.0,29.66,64.2,6.46,762.0
Maharashtra,Bhandara,Summer,90.0,43.0,45.0,28.66,61.1,6.32,764.0
Maharashtra,Bid,Kharif,84.0,39.0,42.0,29.89,64.19,6.68,871.0
Maharashtra,Bid,Rabi,90.0,47.0,46.0,28.84,55.33,6.45,908.0
Maharashtra,Bid,Summer,90.0,37.0,41.0,28.25,62.35,6.21,960.0
Maharashtra,Buldana,Kharif,96.0,47.0,41.0,29.77,61.19,6.66,757.0
Maharashtra,Buldana,Rabi,85.0,46.0,46.0,26.42,59.48,6.27,813.0
Maharashtra,Buldana,Summer,94.0,46.0,44.0,29.58,57.82,6.19,850.0
Maharashtra,Chandrapur,Kharif,94.0,45.0,41.0,27.41,57.66,6.23,884.0
Maharashtra,Chandrapur,Rabi,92.0,41.0,38.0,26.48,58.05,6.85,847.0
Maharashtra,Chandrapur,Summer,91.0,45.0,41.0,27.45,65.66,6.87,768.0
Maharashtra,Dhule,Kharif,85.0,39.0,38.0,26.59,65.97,6.31,731.0
Maharashtra,Dhule,Rabi,85.0,42.0,44.0,27.11,64.9,6.29,859.0
Maharashtra,Dhule,Summer,88.0,46.0,43.0,26.97,62.07,6.71,852.0
Maharashtra,Gadchiroli,Kharif,84.0,42.0,45.0,27.88,65.8,6.42,969.0
Maharashtra,Gadchiroli,Rabi,84.0,45.0,48.0,26.75,54.49,6.57,916.0
Maharashtra,Gadchiroli,Summer,87.0,39.0,47.0,28.05,56.72,6.62,781.0
Maharashtra,Gondiya,Kharif,92.0,37.0,45.0,27.55,65.24,6.21,949.0
Maharashtra,Gondiya,Rabi,92.0,45.0,39.0,29.7,64.53,6.31,873.0
Maharashtra,Gondiya,Summer,93.0,45.0,41.0,28.12,56.9,6.17,869.0
Maharashtra,Hingoli,Kharif,88.0,41.0,48.0,26.75,57.35,6.66,937.0
Maharashtra,Hingoli,Rabi,86.0,40.0,45.0,27.62,64.65,6.78,842.0
Maharashtra,Hingoli,Summer,91.0,40.0,43.0,28.68,60.97,6.4,946.0
Maharashtra,Jalgaon,Kharif,86.0,45.0,39.0,26.64,60.58,6.65,937.0
Maharashtra,Jalgaon,Rabi,96.0,45.0,41.0,28.85,56.85,6.36,877.0
Maharashtra,Jalgaon,Summer,91.0,44.0,44.0,28.88,57.7,6.53,916.0
Maharashtra,Jalna,Kharif,86.0,42.0,44.0,27.0,61.08,6.88,780.0
Maharashtra,Jalna,Rabi,89.0,44.0,48.0,27.74,58.2,6.62,840.0
Maharashtra,Jalna,Summer,84.0,41.0,40.0,28.29,63.22,6.13,901.0
Maharashtra,Kolhapur,Kharif,95.0,41.0,43.0,27.48,54.19,6.84,970.0
Maharashtra,Kolhapur,Rabi,88.0,39.0,38.0,26.3,57.67,6.25,890.0
Maharashtra,Kolhapur,Summer,86.0,38.0,46.0,27.58,64.13,6.84,903.0
Maharashtra,Latur,Kharif,91.0,38.0,43.0,27.43,57.05,6.34,947.0
Maharashtra,Latur,Rabi,84.0,44.0,38.0,26.55,62.51,6.54,899.0
Maharashtra,Latur,Summer,90.0,46.0,40.0,27.02,61.34,6.17,864.0
Maharashtra,MAHARASHTRA,Kharif,92.0,40.0,41.0,28.6,62.42,6.74,933.0
Maharashtra,MAHARASHTRA,Rabi,86.0,43.0,39.0,26.38,60.94,6.13,882.0
Maharashtra,MAHARASHTRA,Summer,93.0,42.0,47.0,29.44,57.0,6.13,744.0
Maharashtra,Mumbai,Kharif,89.0,47.0,42.0,28.09,63.24,6.27,734.0
Maharashtra,Mumbai,Rabi,90.0,40.0,43.0,26.21,60.38,6.53,784.0
Maharashtra,Mumbai,Summer,91.0,40.0,39.0,28.07,57.88,6.74,792.0
Maharashtra,Mumbai Suburban,Kharif,86.0,46.0,44.0,27.0,56.21,6.16,856.0
Maharashtra,Mumbai Suburban,Rabi,92.0,41.0,38.0,26.69,55.88,6.3,855.0
Maharashtra,Mumbai Suburban,Summer,89.0,45.0,45.0,29.74,61.66,6.51,921.0
Maharashtra,Nagpur,Kharif,88.0,42.0,44.0,26.19,60.79,6.23,815.0
Maharashtra,Nagpur,Rabi,92.0,41.0,38.0,27.25,65.75,6.24,873.0
Maharashtra,Nagpur,Summer,93.0,46.0,42.0,27.89,56.08,6.45,752.0
Maharashtra,Nanded,Kharif,93.0,46.0,43.0,28.54,54.54,6.4,876.0
Maharashtra,Nanded,Rabi,93.0,37.0,45.0,28.63,55.96,6.16,731.0
Maharashtra,Nanded,Summer,84.0,47.0,41.0,28.3,58.66,6.61,890.0
Maharashtra,Nandurbar,Kharif,96.0,39.0,48.0,29.77,58.63,6.87,803.0
Maharashtra,Nandurbar,Rabi,94.0,38.0,40.0,28.47,58.04,6.62,822.0
