region,season,N,P,K,temperature,humidity,ph,rainfall,label,avg_price,yield_per_hectare
Maharashtra,Kharif,90,40,40,26.940512143160067,59.860745251826,6.662381895091823,773,rice,22,2600
Maharashtra,Kharif,86,39,42,26.732152146815274,62.77853827747879,6.514470505434273,946,maize,20,3000
Maharashtra,Kharif,88,40,39,27.895140296246016,56.361472862191285,6.743982041985659,770,chickpea,50,900
Maharashtra,Kharif,95,43,40,26.988594151902703,62.09688996981315,6.680387938124568,845,kidneybeans,60,1200
Maharashtra,Kharif,93,42,41,29.353793672829827,58.72464822964503,6.673690102635149,893,pigeonpeas,55,1100
Maharashtra,Kharif,90,43,44,28.879059426081916,59.14897359872367,6.2069727708555105,928,mothbeans,45,700
Maharashtra,Kharif,92,43,47,29.417883061810453,63.59726084718381,6.6808690847262024,820,mungbean,70,850
Maharashtra,Kharif,93,41,44,28.92184904855165,56.821979051724455,6.298175690999197,886,blackgram,60,800
Maharashtra,Kharif,85,38,42,27.269232351236994,58.78446143917527,6.353610763722902,873,lentil,54,950
Maharashtra,Kharif,85,40,47,29.24670575936026,56.19402539833495,6.635006601304501,831,pomegranate,80,18000
Maharashtra,Kharif,88,46,39,26.961371406463986,60.545835809894214,6.339796980942496,812,banana,10,30000
Maharashtra,Kharif,91,46,42,28.764122967399498,61.35331936872005,6.684841738633459,863,mango,40,9000
Maharashtra,Kharif,93,45,40,28.164066900018057,58.394813234119766,6.235013475333439,773,grapes,50,22000
Maharashtra,Kharif,94,44,44,28.45075671667277,56.315559179127206,6.793485888274675,783,watermelon,15,25000
Maharashtra,Kharif,86,43,41,28.993693940471314,64.43067964526531,6.258339372512651,884,muskmelon,18,20000
Maharashtra,Kharif,90,40,47,26.675773923587084,61.106141591093,6.519580587531303,809,apple,60,12000
Maharashtra,Kharif,85,40,47,28.480206297511693,58.798821456366326,6.277698917437152,909,orange,25,15000
Maharashtra,Kharif,89,45,41,27.19176161279908,63.50867295881264,6.453175966452021,874,papaya,12,40000
Maharashtra,Kharif,95,42,39,29.031914517669026,60.66404522015342,6.735274429274913,950,coconut,35,12000
Maharashtra,Kharif,87,44,44,27.64562339376683,55.68451762526513,6.7753779341783895,873,cotton,75,1500
Maharashtra,Kharif,93,38,42,27.032639183273233,64.72745245157634,6.519309606576319,863,jute,45,2200
Maharashtra,Kharif,95,46,39,27.414820390655457,59.973027213490994,6.252180816724736,821,coffee,120,800
Maharashtra,Rabi,85,43,40,20.77398212183164,49.88147602100673,6.675266832486425,423,rice,22,2600
Maharashtra,Rabi,80,41,39,23.02247298264596,50.83889310226735,6.718320121890855,335,maize,20,3000
Maharashtra,Rabi,86,41,43,22.039040522378208,52.52982023034719,6.4615574916712415,376,chickpea,50,900
Maharashtra,Rabi,83,36,39,20.79641268417588,49.73403153246558,6.642865206810418,384,kidneybeans,60,1200
Maharashtra,Rabi,86,43,36,21.527226830116817,50.9166181386551,6.418563110505549,304,pigeonpeas,55,1100
Maharashtra,Rabi,84,42,39,20.546403425172418,53.65735217960417,6.357981946068325,354,mothbeans,45,700
Maharashtra,Rabi,84,38,44,21.674934611335612,54.751545114369804,6.533554054958359,434,mungbean,70,850
Maharashtra,Rabi,80,41,37,21.20230997976363,54.49659987314024,6.735616729433461,312,blackgram,60,800
Maharashtra,Rabi,83,44,41,21.883800641843287,45.255259965101516,6.575897826942191,310,lentil,54,950
Maharashtra,Rabi,82,40,39,23.102127895973297,48.92781352226216,6.458248763320902,443,pomegranate,80,18000
Maharashtra,Rabi,82,42,39,21.172505351631987,46.54243835510638,6.312656293000409,379,banana,10,30000
