taluka_id,state,district,taluka,season,N,P,K,temperature,humidity,ph,rainfall
1,Maharashtra,Ahmadnagar,Ahmadnagar_Taluka_1,Kharif,90,40,48,29.12,61.16,6.46,944
1,Maharashtra,Ahmadnagar,Ahmadnagar_Taluka_1,Rabi,94,47,45,27.33,55.71,6.62,782
1,Maharashtra,Ahmadnagar,Ahmadnagar_Taluka_1,Summer,85,44,43,26.0,65.91,6.59,787
2,Maharashtra,Akola,Akola_Taluka_1,Kharif,89,45,38,28.1,58.8,6.14,917
2,Maharashtra,Akola,Akola_Taluka_1,Rabi,86,43,41,28.37,54.56,6.59,750
2,Maharashtra,Akola,Akola_Taluka_1,Summer,92,43,39,29.8,65.59,6.75,738
3,Maharashtra,Amravati,Amravati_Taluka_1,Kharif,93,41,39,28.74,59.28,6.2,737
3,Maharashtra,Amravati,Amravati_Taluka_1,Rabi,86,37,41,26.73,63.06,6.44,783
3,Maharashtra,Amravati,Amravati_Taluka_1,Summer,93,40,43,26.13,64.11,6.46,931
4,Maharashtra,Aurangabad,Aurangabad_Taluka_1,Kharif,87,44,44,28.08,65.53,6.78,966
4,Maharashtra,Aurangabad,Aurangabad_Taluka_1,Rabi,85,41,45,27.43,57.37,6.53,770
4,Maharashtra,Aurangabad,Aurangabad_Taluka_1,Summer,96,37,46,29.95,63.27,6.26,945
5,Maharashtra,Bhandara,Bhandara_Taluka_1,Kharif,94,39,38,28.85,63.48,6.58,963
5,Maharashtra,Bhandara,Bhandara_Taluka_1,Rabi,90,46,46,29.66,64.2,6.46,762
5,Maharashtra,Bhandara,Bhandara_Taluka_1,Summer,90,43,45,28.66,61.1,6.32,764
6,Maharashtra,Bid,Bid_Taluka_1,Kharif,84,39,42,29.89,64.19,6.68,871
6,Maharashtra,Bid,Bid_Taluka_1,Rabi,90,47,46,28.84,55.33,6.45,908
6,Maharashtra,Bid,Bid_Taluka_1,Summer,90,37,41,28.25,62.35,6.21,960
7,Maharashtra,Buldana,Buldana_Taluka_1,Kharif,96,47,41,29.77,61.19,6.66,757
7,Maharashtra,Buldana,Buldana_Taluka_1,Rabi,85,46,46,26.42,59.48,6.27,813
7,Maharashtra,Buldana,Buldana_Taluka_1,Summer,94,46,44,29.58,57.82,6.19,850
8,Maharashtra,Chandrapur,Chandrapur_Taluka_1,Kharif,94,45,41,27.41,57.66,6.23,884
8,Maharashtra,Chandrapur,Chandrapur_Taluka_1,Rabi,92,41,38,26.48,58.05,6.85,847
8,Maharashtra,Chandrapur,Chandrapur_Taluka_1,Summer,91,45,41,27.45,65.66,6.87,768
9,Maharashtra,Dhule,Dhule_Taluka_1,Kharif,85,39,38,26.59,65.97,6.31,731
9,Maharashtra,Dhule,Dhule_Taluka_1,Rabi,85,42,44,27.11,64.9,6.29,859
9,Maharashtra,Dhule,Dhule_Taluka_1,Summer,88,46,43,26.97,62.07,6.71,852
10,Maharashtra,Gadchiroli,Gadchiroli_Taluka_1,Kharif,84,42,45,27.88,65.8,6.42,969
